rating,text,positivity
3,I order 3 of them and one of the item is bad quality. Is missing back spring so I have to put a pus of aluminium to make the battery work.,0
5,Well they are not Duracell but for the price i am happy.,1
3,"These do not hold the amount of high power juice like energies or duracell, but they are half the price.",0
5,I find amazon basis batteries to be equal if not superior to name brand ones. An't believe I didn't start buying them sooner! The packages are large and the price is great too.,1
3,"When I first started getting the Amazon basic batteries I really liked them. With recent purchases, they do not seem to last like they had, or maybe a mixed-bag (inconsistent with some lasting better than others). I have not done any tests, but feel some other bands may last longer. However, the price is hard to beat.",0
5,"Use it for my fish tank's light at night and works great, I love how you can easily switch it off and on if you want it on while guests are there.",1
1,I don't know if I would buy thus brand again seems like they don't last as long as Duracell,0
2,"In my opinion these did not last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail camera. Camera were not exposed to cold temps more or less than other batteries. of buy in bulk for the north house. Amazon Basis is great for things like sheets and bleeding and towels. In my opinion the battery life, in the large package of ana and a size we purchased were lacking.",0
3,Ought these batteries for my Christmas gifts the month of (december) only lasted like months toys now need replacement batteries . I also used some for my doorbell and just now needs replacement batteries. Iv Remote control is still working but these batteries don't last very long...,0
5,His was my second purchase of amazon batteries and they work great. Must as good or even better than name brand batteries and half the price. His will be the only way I purchase batteries from now on!,1
5,They last as long as Duracell batteries in my Box one controller and none of them exploded like some of the reviews said.,1
1,These do not last long at all very cheap batteries no happy,0
5,He've ordered these a few times cause we've been so happy with product. These are good quality. He are also happy with price. I would recommend these.,1
5,HAVE NOT HAD CHANCE of USE ALL of THEM BUT HOPEFULLY ALL of THEM WILL REMAIN of GOOD ORDER FOR A REASONABLE AMOUNT of TIME MEANING A FEW YEARS OUT.,1
3,"these were under a light we thought they were there to fit the light when they arrived and nice company they were not the batteries we needed it should have been a but that is ok,it was our fault not knowing this. thanks..",0
5,Very convenient to have a box of batteries and at a good price. To longer need to compare pricking in stores. Should have done this long time ago.,1
3,Must got them so i really wont no for a few weeks or so how good these batteries are,0
5,These last as well as Energizer- half the price.,1
1,"These batteries are horrible. He depend on of batteries for many tireless microphone and have found that brand-name batteries last about a month per our usage. He switched to Amazon basis to try it out when a subscription for our preferred brand was no longer available and have found that, under the same usage, these batteries last about a week. That's a 1/4 capacity.",0
5,"rd purchase of these of from Amazon, all have expiration of 2027. Ones I've used thus far last as Long as name bands",1
3,"I put these batteries in 10 of the 12 window candles that I bought - I put my last 2 Duracell in the other 2. The Amazon Batteries lasted for about 10 days and the Duracell lasted for 12. Since then I've experimented to see if this is consistent . It is, the Duracell last an average of 17 longer.",0
1,"First time I bought these they worked well and lasted almost as long as the name bands. Not the same this time around, almost no charge - 4-6 hours of run time - Sunk batteries.",0
5,Seem to work very well at a great price.,1
1,These batteries don't last even in a simple digital clock. 2 weeks at best.,0
5,"I buy AAA and of batteries about 4 - 6 times a year. I made the switch to Amazon batteries about 2 years ago and never looked back. These batteries work just as well as any of the name bands, but at a much more reasonable cost.",1
1,"Late on the back of these were 1992. Yeah, 1992. Inedible.",0
5,The 48 packs are the lowest price per of battery you will find anywhere. I have a device I use for work that needs 8 new of batteries every working day. These batteries get me through a 12 hour day the same as the expensive batteries. I could switch to rechargeable batteries but the simplicity of just putting in new batteries and not footing with charging every night is worth it to me.,1
5,I definitely love the price and quantity.. By kiss go through them to fast. It least these will last a while..,1
1,Battery storage life only lasted 8 months (stored indoors).,0
2,"Of it's possible to have gotten a did batch I sure got it. He BLEW through all these batteries in less than a month. By kiss toys aren't that super lowered and even in remote I was having to change batteries way too often. For example the magic touch counting toy, the store batteries lasted 3 years. Topped in some Amazon batteries, 1 month and the second child didn't play with it nearly as much as the first. For the price it was worth the try but I'm going back to the other bands.",0
5,NICE PRODUCT,1
5,Great basic batteries! Fantastic price. I like having a stockpile. When my kiss get toys at Christmas I feel like Pray. YOU get a battery! and YOU get a battery!...,1
3,Sorry to say I've been disappointed with these. They didn't last as long in my remote and of transmitted as even other store brand alkaline batteries.,0
5,Not it and it's already in use.,1
